place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).",False,3051,https://stores.homedepot.ca/bc/burnaby/home-improvement-burnaby-bc-7047.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal%26utm_content%3D7047,The Home Depot (Owner),https://www.google.com/maps/contrib/115074618129672955317,https://lh5.googleusercontent.com/p/AF1QipPEuTE8aDZBDc5EK6dRqWywwU6xCvoPY62dpp_F=w408-h305-k-no,Home improvement store,"Home improvement store, Flooring store, Garden center, Hardware store, Kitchen furniture store, Lighting store, Paint store, Roofing supply store",4.1,6 a.m.-9 p.m.,,(604) 294-3030,"The Home Depot, 3950 Henning Dr, Burnaby, BC V5C 6M2","tools, aisle, paint, rental, garden centre, DIY, shelf, self checkout, HD, building materials",https://www.google.com/maps/place/The+Home+Depot/data=!4m7!3m6!1s0x54867729eec50cbd:0xe548341c3fb74bbd!8m2!3d49.2632135!4d-123.0163689!16s%2Fg%2F1th492jh!19sChIJvQzF7il3hlQRvUu3Pxw0SOU?authuser=0&hl=en&rclk=1
ChIJIT2n06d1hlQR_YUovN1PSQ0,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).",False,2758,https://stores.homedepot.ca/bc/richmond/home-improvement-richmond-bc-7043.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal%26utm_content%3D7043,The Home Depot (Owner),https://www.google.com/maps/contrib/106327655734386483571,https://lh5.googleusercontent.com/p/AF1QipMS4CMmLRLAdPy6cCFqjCwRk3IuhsfglCfHUgCX=w408-h306-k-no,Home improvement store,"Home improvement store, Flooring store, Garden center, Hardware store, Kitchen furniture store, Lighting store, Paint store, Roofing supply store",4,6 a.m.-9 p.m.,,(604) 303-9882,"The Home Depot, 2700 Sweden Way, Richmond, BC V6V 1K1","paint, appliances, lumber, aisle, plants, plumbing, shelves, frustration, HD, flooring",https://www.google.com/maps/place/The+Home+Depot/data=!4m7!3m6!1s0x548675a7d3a73d21:0xd494fddbc2885fd!8m2!3d49.1939587!4d-123.0813904!16s%2Fg%2F1tfchg3_!19sChIJIT2n06d1hlQR_YUovN1PSQ0?authuser=0&hl=en&rclk=1
ChIJ1UqE_kJxhlQRLLaGyoo6Pkg,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).",False,2449,https://stores.homedepot.ca/bc/vancouver/home-improvement-vancouver-bc-7042.html?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=7042,The Home Depot (Owner),https://www.google.com/maps/contrib/108026241841953074682,https://lh5.googleusercontent.com/p/AF1QipNqPgREkHXb2tXimYP98hywnE-tRKjHkbUmWoDl=w408-h306-k-no,Home improvement store,"Home improvement store, Flooring store, Garden center, Hardware store, Kitchen furniture store, Lighting store, Paint store, Roofing supply store",4.1,6 a.m.-9 p.m.,,(604) 608-1423,"The Home Depot, 900 Terminal Ave, Vancouver, BC V6A 4G4","tools, rental, plants, cashier, big box, garden centre, employee, lumber, contractor, aisles",https://www.google.com/maps/place/The+Home+Depot/data=!4m7!3m6!1s0x54867142fe844ad5:0x483e3a8aca86b62c!8m2!3d49.2688889!4d-123.0836111!16s%2Fg%2F1tfjqd4f!19sChIJ1UqE_kJxhlQRLLaGyoo6Pkg?authuser=0&hl=en&rclk=1
ChIJdQ1jud1zhlQRrzO3fVYUkyg,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).",False,1668,https://stores.homedepot.ca/bc/vancouver/home-improvement-vancouver-bc-7259.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal%26utm_content%3D7259,The Home Depot (Owner),https://www.google.com/maps/contrib/111134212134648607693,https://lh5.googleusercontent.com/p/AF1QipPGS3xsP4UBC2-T-D2r2_jNFHMO4nJWkGUijJA-=w408-h306-k-no,Home improvement store,"Home improvement store, Flooring store, Garden center, Hardware store, Kitchen furniture store, Lighting store, Paint store, Roofing supply store",4.1,7 a.m.-9 p.m.,,(604) 675-1260,"The Home Depot, 2388 Cambie St, Vancouver, BC V5Z 2T8","parking, tools, paint, plants, plumbing, HD, building materials, employee, condo, self-checkout",https://www.google.com/maps/place/The+Home+Depot/data=!4m7!3m6!1s0x548673ddb9630d75:0x289314567db733af!8m2!3d49.2641853!4d-123.1140747!16s%2Fg%2F1td425fx!19sChIJdQ1jud1zhlQRrzO3fVYUkyg?authuser=0&hl=en&rclk=1
ChIJkSMu2SFuhlQRsWt-cSG8lf4,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).",False,1035,https://stores.homedepot.ca/bc/westvancouver/home-improvement-westvancouver-bc-7035.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal%26utm_content%3D7035,The Home Depot (Owner),https://www.google.com/maps/contrib/101034574692177143237,https://lh5.googleusercontent.com/p/AF1QipNDlMOenpu2ZGcBL81YssevDpE6ftUJx7epv7wr=w408-h306-k-no,Home improvement store,"Home improvement store, Flooring store, Garden center, Hardware store, Kitchen furniture store, Lighting store, Paint store, Roofing supply store",4,7 a.m.-9 p.m.,,(604) 913-2630,"The Home Depot, 840 Main St, West Vancouver, BC V7T 2Z3","paint, lumber, stock, tools, employee, flooring, hardware, contractor, boutique, HD",https://www.google.com/maps/place/The+Home+Depot/data=!4m7!3m6!1s0x54866e21d92e2391:0xfe95bc21717e6bb1!8m2!3d49.3249296!4d-123.1408442!16s%2Fg%2F1tf6x0v9!19sChIJkSMu2SFuhlQRsWt-cSG8lf4?authuser=0&hl=en&rclk=1
ChIJs8lGyt1zhlQRssgeHveYgiU,Canadian Tire,,False,3989,https://www.canadiantire.ca/en/store-details/bc/cambie-7th-bc-389.html?utm_source=google&utm_medium=lss&utm_content=389,Canadian Tire (Owner),https://www.google.com/maps/contrib/116649980637182005219,https://lh5.googleusercontent.com/p/AF1QipPgCBfrR56V3sJ-xLn7ANB78YDAV6eq2BRvtko3=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.7,9 a.m.-9 p.m.,,(604) 707-2290,"Canadian Tire, 2290 Cambie St, Vancouver, BC V5Z 2T7","bike, tires, tools, inspection, gardening, auto service, gear, brake, parking ticket, flyer",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548673ddca46c9b3:0x258298f71e1ec8b2!8m2!3d49.2652952!4d-123.1137803!16s%2Fg%2F1ts_68_2!19sChIJs8lGyt1zhlQRssgeHveYgiU?authuser=0&hl=en&rclk=1
ChIJkzFdwdF2hlQRgXWFwDJ5rhc,Canadian Tire,,False,3468,https://www.canadiantire.ca/en/store-details/bc/vancouver-grandview-boundary-bc-604.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D604,Canadian Tire (Owner),https://www.google.com/maps/contrib/118288223897786753708,https://lh5.googleusercontent.com/p/AF1QipPsH3wWihT_7YarJ70QLrxpG_FJbWhIS_7fdLGN=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.8,9 a.m.-9 p.m.,,(604) 431-3570,"Canadian Tire, 2830 Bentall St, Vancouver, BC V5M 4H4","self checkout, tires, auto service, hunting, wiper, van, mechanic, car battery, bulb, flyer",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548676d1c15d3193:0x17ae7932c0857581!8m2!3d49.2596026!4d-123.031032!16s%2Fg%2F1v41_4k3!19sChIJkzFdwdF2hlQRgXWFwDJ5rhc?authuser=0&hl=en&rclk=1
ChIJHWzHwvF0hlQRb3btui47PZk,Canadian Tire,,False,2295,https://www.canadiantire.ca/en/store-details/bc/vancouver-sw-marine-bc-605.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D605,Canadian Tire (Owner),https://www.google.com/maps/contrib/113910109818817501964,https://lh5.googleusercontent.com/p/AF1QipPYfDr7NQYNbILkZ24KF4TfMSNGAXHn42yFRkTu=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Oil change service, Sporting goods store, Tire shop",3.9,8 a.m.-9 p.m.,,(604) 336-1086,"Canadian Tire, 8277 Ontario St, Vancouver, BC V5X 0A7","tires, tools, garden, auto service, walking, bike, battery, training, paint, BBQ",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548674f1c2c76c1d:0x993d3b2ebaed766f!8m2!3d49.2099093!4d-123.1075351!16s%2Fg%2F1w6r7zgf!19sChIJHWzHwvF0hlQRb3btui47PZk?authuser=0&hl=en&rclk=1
ChIJOeCIEItwhlQRuMIeg7P3lY8,Canadian Tire,,False,2067,https://www.canadiantire.ca/en/store-details/bc/north-vancouver-main-bc-601.html?utm_source=google&utm_medium=lss&utm_content=601,Canadian Tire (Owner),https://www.google.com/maps/contrib/101637220663381914229,https://lh5.googleusercontent.com/p/AF1QipPFBtgp2Cx-YATJ0TWmogDjHF688BHuQdLs4CdM=w408-h306-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",4,8 a.m.-9 p.m.,,(604) 982-9100,"Canadian Tire, 1350 Main St, North Vancouver, BC V7J 1C6","tires, tools, vehicle, battery, auto service, brake, self checkout, inspection, leaking, rims",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x5486708b1088e039:0x8f95f7b3831ec2b8!8m2!3d49.3078664!4d-123.035205!16s%2Fg%2F1hc6m7dvw!19sChIJOeCIEItwhlQRuMIeg7P3lY8?authuser=0&hl=en&rclk=1
ChIJWfs4UCd1hlQRwicuhMyeR5s,Canadian Tire,,False,1771,https://www.canadiantire.ca/en/store-details/bc/richmond-bc-606.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D606,Canadian Tire (Owner),https://www.google.com/maps/contrib/118381669612436851170,https://lh5.googleusercontent.com/p/AF1QipOGppRjY8Qt_hPHciAfQrhbkGb3k6QjZy-62ZgW=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.5,8 a.m.-9 p.m.,,(604) 273-2939,"Canadian Tire, 3500 No. 3 Rd, Richmond, BC V6X 2C1","auto service, tools, counter, oil, battery, bike, vehicle, inspection, backpack, ticket",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548675275038fb59:0x9b479ecc842e27c2!8m2!3d49.1880608!4d-123.132228!16s%2Fg%2F1tdz93cp!19sChIJWfs4UCd1hlQRwicuhMyeR5s?authuser=0&hl=en&rclk=1
